doi,replicated,discipline,year,what_manipulated,what_measured,experiment,design,manipulation,effect_structure,focus,clarity,rigor,transparency,N,ES,P
10.1111/1745-9125.12008,1,criminology,2013,marital status transitions (marriage to divorce) and marital duration,arrest frequency and offending patterns,"Monthly-level data across 13 years tracked status changes and arrest outcomes for a nationally representative sample. Within-individual multilevel models compared arrest rates during married periods versus following divorce, examining whether reductions in offending were enduring (stable across separation) or situational (reversing upon divorce). Moderating effects of marital duration were examined.",longitudinal,observational,main-effect,few-confirmatory,clearly-operationalized,standard,none,813.0,1.518921,0.001
10.1111/ajps.12252,0,political science,2016,racial/ethnic identity cues in written communication,responsiveness of government bureaucrats to requests and tone of responses,"Units (housing officials) received email requests for assistance varying in sender racial/ethnic identity (white, black, Hispanic). Response rates and email tone were compared across conditions. Field experiment measured whether officials responded and the language register of responses as functions of applicant identity.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,549.0,,0.0001935628
10.1111/bjhp.12185,1,Cognitive Psychology,2016,body mass index of visual stimuli presented to units,estimated weight of bodies and just-noticeable difference in weight discrimination,Experiment 1: Units estimated weight of images varying in BMI; linear regression assessed underestimation magnitude as BMI increased. Experiment 2: Units compared pairs of bodies varying in BMI and discriminated which was heavier; analysis of variance tested whether the just-noticeable difference (minimum perceptual change) varied with stimulus BMI. Both experiments tested predictions derived from perceptual bias theories.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,29.0,0.71,0.0001
10.1111/cogs.12605,1,Cognitive Psychology,2018,stability vs. instability of causal relationships while holding overall causal strength constant,endorsement of causal claims and willingness to use causal relationships as guides to action,"Experiment 1: Units judged causal and explanatory claims for relationships varying in stability; regression assessed whether endorsement differed by stability, controlling for causal strength. Experiment 2: Manipulated generalization scope to test alternative explanations. Experiment 3: Measured action guidance judgments. Across studies, stability effects were isolated from confounds.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,182.0,0.478,0.001
10.1111/flan.12063,1,Linguistics,2013,not applicable (test development and validation study),global oral linguistic proficiency in a second language as measured by elicited imitation,"Units completed an elicited imitation test, an oral narrative task, and a background questionnaire. Correlation and regression analyses examined whether test scores predict oral proficiency ratings, stratified by language ability level and learner type. Test validity was assessed via convergence with other proficiency measures.",observational or correlational,observational,simple-association,single-hypothesis,clearly-operationalized,standard,none,80.0,0.204,0.0
10.1111/j.1460-2466.1984.tb02164.x,0,Education,1984,not specified (abstract too brief),not specified (abstract too brief),"Insufficient information in abstract to describe procedure, analysis, or comparison. Abstract provides only title and citation information.",standard,observational,main-effect,single-hypothesis,vague,minimal,none,128.0,,0.01
10.1111/j.1467-7687.2009.00807.x,1,Developmental Psychology,2009,socioeconomic background (indexed by maternal education) as a grouping variable,neural processing efficiency during selective attention and ability to filter irrelevant information,Young units listened to two narrative stories simultaneously while cued to attend to one; event-related brain potentials (ERP) were recorded to probe stimuli embedded in attended and unattended stories. Between-group analysis compared ERP components (selective attention effects) in units from higher versus lower socioeconomic backgrounds. Analysis focused on early (100 ms) filtering efficiency.,between-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,32.0,,0.01
10.1111/j.1467-7687.2009.00859.x,1,Social Psychology,2009,absolute amount and proportion of resources given away by a puppet character,ratings of niceness or fairness of the gift-giver,Units (children and adults) observed puppet characters distributing resources and rated which character was nicer. Within-subjects design crossed absolute amount given with proportion of available resources given. Analysis examined which cue (absolute vs. proportional) dominated judgments and how this changed with development. ANOVA and descriptive analysis of choice patterns were used.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,16.0,,0.0001
10.1111/j.1467-8284.2004.00481.x,1,Experimental Philosophy,2004,not applicable (philosophical literature review and reference list),not applicable (philosophical literature review and reference list),Philosophical reference list and literature review; no empirical study design. Content appears to be a bibliography of philosophical works on intention and intentional action rather than a description of an experiment.,standard,observational,main-effect,single-hypothesis,vague,minimal,none,77.0,,0.01
10.1111/j.1467-8624.2007.00995.x,0,Social Psychology,2007,implicit theory of intelligence (fixed vs. malleable) taught in Study 2; pre-existing implicit theory assessed in Study 1,grade trajectories in mathematics and classroom motivation,"Study 1: Longitudinal design tracking grades over two years; regression with implicit theory as predictor assessed linear trends in grades. Study 2: Randomized intervention: units assigned to receive either an incremental theory teaching session or control; post-intervention grades and motivation were compared between groups. Mediational analysis examined effects through learning goals, effort beliefs, and attributions.",mixed,randomized-experiment,mediation-or-moderation,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,373.0,0.35000000000000003,0.05
10.1111/j.1467-8624.2009.01312.x,1,Developmental Psychology,2009,"type of visual stimulus presented (social vs. other, inferred from design)",hemodynamic activation (oxyhemoglobin concentration) in temporal lobe regions,Young units viewed visual stimuli while near infrared spectroscopy measured blood oxygenation in bilateral temporal lobes. Analysis identified regions showing significant changes in oxyhemoglobin relative to baseline. Localization of activation to specific temporal sites was examined to infer involvement in social brain networks.,within-subjects,randomized-experiment,main-effect,single-hypothesis,partially-specified,standard,none,12.0,,0.01
10.1111/j.1467-9280.2006.01704.x,0,Social Psychology,2006,anchor values (self-generated vs. provided) and information search conditions,magnitude of adjustment from anchor values and final estimates,"Units made estimates of quantities under conditions where anchoring values were self-generated or provided, and where search for accurate information was encouraged or not. Regression analyses compared adjustment magnitudes (actual adjustment - insufficient adjustment) across conditions. Studies 1a-1b examined termination at plausible values; Studies 2a-2c tested whether encouraging deeper search reduced insufficient adjustment.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,87.5,0.26,0.05
10.1111/j.1467-9280.2006.01720.x,1,Psychology,2006,numerical information presented in various formats and numeracy level of units as a measured grouping variable,judgment and decision outcomes including susceptibility to framing effects,"Four studies varied in task type but all involved numerical probability comprehension. Units varying in numeracy (measured via assessment) completed judgment or decision tasks; correlation and regression analyses examined whether numeracy predicted task performance and framing susceptibility, controlling for general intelligence. Between-group analyses compared high-numerate versus low-numerate units' use of numerical principles and affective responses.",between-subjects,observational,main-effect,many-exploratory,clearly-operationalized,standard,none,100.0,0.11,0.05
10.1111/j.1467-9280.2006.01824.x,0,Linguistics,2006,power level via priming manipulation in some studies; power as individual difference measured in correlational study,"perspective-taking accuracy, egocentric bias, and empathy-related judgments","Experiments 1-3: Units were primed with high vs. low power and then completed perspective-taking tasks (drawing orientation, knowledge adjustment, emotion recognition) measuring egocentric bias. Accuracy scores and response patterns were compared between power conditions. Additional study measured individual differences in power and correlated with perspective-taking measures. Mixed analysis of variance tested interaction effects of power condition.",mixed,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,42.0,0.77,0.02
10.1111/j.1467-9280.2007.01909.x,0,Cognitive Psychology,2007,own outcome knowledge (whether unit knew event result) as a within-subject factor,false-belief reasoning accuracy; ability to predict another unit's belief given contradictory information,"Units watched an event and then reasoned about what another person would believe about that event, either knowing or not knowing the actual outcome. Accuracy on false-belief reasoning tasks was compared within-subjects across knowledge conditions. Analyses tested for curse-of-knowledge bias (own knowledge impairing reasoning about others' false beliefs). Plausibility ratings were examined as a mediator.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,155.0,0.4655,0.01723819924
10.1111/j.1467-9280.2007.01944.x,0,Developmental Psychology,2007,beliefs attributed to an actor (true vs. false beliefs about object location),anticipatory eye gaze toward predicted action target,"Young units watched a scene where an actor held a false belief about an object's location, then watched as the actor searched for the object. Eye-tracking recorded where units looked in anticipation of the actor's search. Gaze was directed to locations consistent with the actor's false belief rather than the true object location. Timing and direction of anticipatory looking were analyzed.",within-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,20.0,0.22,0.003
10.1111/j.1467-9280.2008.02041.x,1,Cognitive Psychology,2008,conflict between response options presented during decision making,trajectory and velocity of reaching movements toward response options,"Units made evaluative judgments (e.g., whether murder is justified) by moving a computer mouse toward response options (agree/disagree). Reaching trajectories were recorded and analyzed for deflection toward non-chosen alternatives. On trials with high response conflict, trajectories were compared to low-conflict trials. Analysis examined whether simultaneous pull from multiple alternatives influenced motor execution rather than just final decision.",within-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,141.0,-0.7,0.05
10.1111/j.1467-9280.2008.02042.x,1,Cognitive Psychology,2008,presence or absence of response conflict on a current trial; presence of prospective memory cues,goal shielding as indexed by forgetting of prospective memory cues and interference susceptibility,Units performed a spatial task while monitoring for rare prospective memory cues. Trials varied in whether they contained response conflicts. Primary analysis compared prospective memory cue detection on conflict versus nonconflict trials; cues were noticed less often on conflict trials. Secondary analysis examined whether this reflected heightened goal shielding and distraction inhibition on conflict trials themselves. Accuracy rates compared across conditions.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,40.0,0.14,
10.1111/j.1467-9280.2008.02043.x,1,Social Psychology,2008,age group (younger vs. older adults),number of episodic (internal) and contextual (external) details generated in autobiographical narratives,Units of different ages were asked to generate past and future autobiographical events. Transcriptions were segmented into details and classified as internal (episodic) or external. The number of details was compared between age groups and across past/future event types. Correlations between detail counts and relational memory abilities were also examined.,between-subjects,observational,main-effect,few-confirmatory,clearly-operationalized,standard,none,32.0,0.326,
10.1111/j.1467-9280.2008.02044.x,0,Cognitive Psychology,2008,target viewpoint (prototypical vs. nonprototypical views) and target definition (name-based vs. action-based),fixation probability and fixation duration during visual search,"Units performed visual search for targets defined either by their names or by the action typically performed on them. Targets appeared in prototypical or nonprototypical views. Eye movements were recorded. First-fixation probability and fixation duration were analyzed by target view and definition type, stratified by visual field location.",within-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,14.0,,
10.1111/j.1467-9280.2008.02045.x,0,Social Psychology,2008,exposure to text promoting a belief in determinism vs. neutral text,cheating behavior and belief in free will,"Units were assigned to read either deterministic or neutral messages. In Experiment 1, cheating was measured via a task where a flawed computer program could reveal answers; mediation analysis tested whether reduced free-will belief explained increased cheating. In Experiment 2, cheating was measured via self-reported payment for cognitive performance. Tests included comparisons of cheating rates and mediation analysis.",between-subjects,randomized-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,30.0,,0.01
10.1111/j.1467-9280.2008.02046.x,1,Cognitive Psychology,2008,stimulus onset asynchrony (SOA) between two targets in rapid serial visual presentation,detection accuracy and distractor intrusions at different temporal intervals,"Units viewed rapid sequences of items and reported two targets (T1 and T2) presented at varying SOAs (roughly 200-500 ms). Distractor intrusions were analyzed as a function of SOA to estimate temporal selection suppression, latency, and precision. Results were described as dissociated time-course effects.",within-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,12.0,,1e-05
10.1111/j.1467-9280.2008.02049.x,0,Cognitive Psychology,2008,presence or absence of extremal edge (viewpoint-specific self-occlusion cue) on a surface border; cue type (shading vs. texture gradient),depth perception and figure-ground organization judgments,"Units viewed images containing surfaces with and without extremal edges along shared borders. In separate experiments, cues were provided via shading or texture gradients. Units judged relative depth and figure-ground assignment. Comparisons tested whether extremal-edge surfaces were perceived as closer and as figure.",within-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,8.0,,0.001
10.1111/j.1467-9280.2008.02050.x,1,Cognitive Psychology,2008,number of tones in a chord and interstimulus interval (ISI) duration,change-detection accuracy for frequency shifts,Units made same/different judgments on successive chords and rated tone-frequency comparisons. The change was always a frequency shift in one tone. Complexity (number of tones) and ISI (0 ms vs. 2 s) were varied. Performance was compared across complexity and ISI conditions.,within-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,4.0,0.74,0.005
10.1111/j.1467-9280.2008.02051.x,0,Cognitive Psychology,2008,"object words denoting spatial locations (head vs. foot, high vs. low objects)",target-identification accuracy and speed for visual stimuli,"Units viewed object words and subsequently identified visual targets presented at various vertical positions. The prediction was that words encoding typical object locations would orient attention and activate spatial simulations, impairing target identification when targets appeared at the word's typical location. Identification accuracy was compared across word-target congruence conditions.",within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,18.0,,
10.1111/j.1467-9280.2008.02052.x,0,Social Psychology,2008,"external motivation to respond without prejudice (low vs. high) and face race and expression (White/Black, neutral/happy) and presentation duration (30 ms vs. 450 ms)",attentional bias on a dot-probe task,"Units with low and high external motivation were presented with face pairs (White and Black, neutral or happy) at two durations. A probe followed, and reaction times indicated attentional bias. Attentional patterns were compared across motivation level, race, expression, and duration conditions.",mixed,quasi-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,28.0,0.8,
10.1111/j.1467-9280.2008.02053.x,0,Social Psychology,2008,commission of errors vs. correct responses during a task,error-related negativity (ERN) amplitude and defensive startle response magnitude,Units performed a task inducing errors. Event-related potentials (ERP) were recorded to measure ERN. Startle magnitude was measured following errors and correct responses. Regression analysis tested whether ERN amplitude predicted individual differences in startle potentiation after errors.,within-subjects,observational,main-effect,few-confirmatory,clearly-operationalized,controls-and-power-reported,none,31.0,-0.38,0.05
10.1111/j.1467-9280.2008.02056.x,0,Social Psychology,2008,induced loneliness (chronically lonely vs. experimentally primed) and exposure condition (observational vs. experimental for Studies 2-3),anthropomorphism and belief in humanlike nonhuman agents,Units were assessed for chronic loneliness (Study 1) or induced to feel lonely (Studies 2-3). Anthropomorphic judgments and belief in humanlike agents were measured. Three studies examined whether loneliness increased attributions of humanlike qualities. Study 3 tested whether the effect was specific to negative affect or a general negative-state effect.,between-subjects,mixed,main-effect,few-confirmatory,clearly-operationalized,standard,none,57.0,0.12,0.01
10.1111/j.1467-9280.2008.02057.x,1,Cognitive Psychology,2008,precision of numerical anchor (precise vs. rounded),magnitude of adjustment away from anchor in numerical judgments,Units made numerical estimates after exposure to either precise or rounded anchors. Five studies varied anchor precision and measurement domains. Adjustment magnitude was compared between anchor-precision conditions. Subjective scale resolution was inferred from patterns of adjustment.,within-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,59.0,,
10.1111/j.1467-9280.2008.02060.x,0,Social Psychology,2008,male relationship status (single vs. attached) and female menstrual-cycle phase (low vs. high fertility),attractiveness ratings of males,"Partnered women (N=208) rated attractiveness of men described as single or attached. Phase of menstrual cycle was assessed. Attractiveness ratings were compared across male-status and cycle-phase conditions, stratified by male masculinity (genetic-quality cue).",within-subjects,observational,interaction,few-confirmatory,clearly-operationalized,standard,none,208.0,,0.008
10.1111/j.1467-9280.2008.02061.x,1,Cognitive Psychology,2008,"evaluative goal (positive, negative, or overall evaluation of names) during fMRI",amygdala activation in response to positive and negative stimuli,Units performed fMRI while evaluating famous names along different goal dimensions. Amygdala activation was measured in response to positive and negative names under each goal condition. Within-subject contrasts tested whether activation patterns varied by evaluative goal and stimulus valence.,within-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,12.0,,0.01
10.1111/j.1467-9280.2008.02062.x,0,Social Psychology,2008,"cognitive fluency (fluent vs. disfluent stimulus processing) induced via visual perceptual, conceptual priming, or linguistic manipulations",level of mental construal (concrete vs. abstract) and perceived psychological distance,"Three studies manipulated fluency via different mechanisms: visual perceptual fluency, conceptual priming, and linguistic fluency. Units processed stimuli and made construal judgments or distance estimates. Construal level and distance judgments were compared between fluency conditions.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,236.0,0.13,0.05
10.1111/j.1467-9280.2008.02064.x,1,Cognitive Psychology,2008,"encoding task (survival relevance rating vs. imagery rating, pleasantness rating, self-reference rating, word generation, intentional learning, or scenario relevance rating)",retention of words on a later memory test,"Units encoded words under different task conditions. Retention was later tested. Memory performance was compared across encoding conditions, with survival processing pitted against multiple control conditions known to produce strong retention.",between-subjects,randomized-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,24.0,0.2,
10.1111/j.1467-9280.2008.02069.x,0,Cognitive Psychology,2008,speaker visibility (speaker exits/returns to room) and linguistic frame (statement 'there's...' vs. question 'where's...') and object visibility configuration,selection of target object on word-learning trials based on speaker's gaze,"Two experiments manipulated what the speaker could see and the linguistic framing of the novel word. Units (ages 2-4) heard a novel word with varied speaker context. Target selection was compared across visibility and linguistic conditions, and above-chance performance was tested.",within-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,32.0,,
10.1111/j.1467-9280.2008.02070.x,0,Cognitive Psychology,2008,language (French vs. English) and naming task (color naming vs. object naming) and phonological similarity between color and object names,phonological congruency effect on naming latency,"Units from French and English-speaking populations named colored objects. Phonological similarity between color and object names was manipulated. Naming latencies were compared across language, task, and phonological-similarity conditions. Word-order constraints were inferred from cross-linguistic contrasts.",between-subjects,quasi-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,15.0,1.71,0.007
10.1111/j.1467-9280.2008.02076.x,0,Social Psychology,2008,behavioral information about group members (positive vs. negative behaviors) and time delay (immediate vs. days later) and evaluation type (implicit vs. explicit),attitude toward new group members (generalization from original member),"Units learned positive and negative behaviors performed by individuals from two groups. Implicit and explicit evaluations of new group members were assessed immediately and days later. Generalization was compared across time, evaluation type, and group-membership link.",mixed,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,564.0,-0.004,
10.1111/j.1467-9280.2008.02077.x,0,Social Psychology,2008,glucose ingestion (sugar vs. sugar substitute) and prior self-control task (depleted vs. not depleted),susceptibility to the attraction effect (decoy bias) in decision making,"Units consumed either sugar-sweetened or sugar-free lemonade. Before the decision task, some units performed a self-control task. Units then made choices between options where a decoy option was present. Attraction-effect magnitude was compared across glucose and depletion conditions.",between-subjects,randomized-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,115.0,0.045,
10.1111/j.1467-9280.2008.02078.x,0,Social Psychology,2008,priming of nonconscious achievement goals vs. control priming during exposure to novel environments,implicit learning of environmental structure,Two experiments using markedly different implicit-learning paradigms primed nonconscious achievement goals or control conditions. Units were exposed to completely novel environments. Learning of environmental structure was assessed. Comparisons tested whether goal priming facilitated implicit learning.,between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,86.0,0.45,
10.1111/j.1467-9280.2008.02080.x,1,Cognitive Psychology,2008,exposure to static images depicting motion in a particular direction,motion aftereffect in opposite direction,"Units view a series of static photographs with implied motion in one direction, then are tested with real-motion probes moving in various directions. Motion aftereffects are assessed by measuring the illusion of motion perceived in the opposite direction. Within-subjects comparison: same units tested before and after viewing static images. Analysis examines transfer of adaptation between implied and real motion domains.",within-subjects,quasi-experiment,main-effect,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,29.0,,0.001
10.1111/j.1467-9280.2008.02081.x,0,Cognitive Psychology,2008,presence of threat-relevant stimulus among distractors,visual detection latency,"Units search for a target image within an array of eight distractor images and detection time is measured. Between-subjects comparison (implicitly via age group) but more fundamentally: presence of threat-relevant target versus nonthreatening targets. Same units search for multiple target types (snake, flowers, frogs, caterpillars). Speed comparisons across target types within units. Statistical test compares detection times for threat versus nonthreat targets.",between-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,48.0,,0.01
10.1111/j.1467-9280.2008.02084.x,0,Social Psychology,2008,spatial distance prime (closeness versus distance task),"multiple outcomes: enjoyment of embarrassment depiction, emotional distress from violent media, food calorie estimation, emotional attachment strength","Units complete a spatial task: plotting points on a coordinate plane in either spatially close or spatially distant arrangement. Four separate experiments follow, each measuring different dependent variables (enjoyment, distress, food estimation, attachment). Between-subjects comparison: closeness-primed units versus distance-primed units on each outcome. Statistical tests examine main effects of distance prime on each outcome measure across four studies.",between-subjects,quasi-experiment,main-effect,many-exploratory,clearly-operationalized,controls-and-power-reported,none,84.0,0.11,
10.1111/j.1467-9280.2008.02085.x,1,Social Psychology,2008,measurement method type (self-report versus peer-report versus perceived national character),correlation with behavioral and demographic predictors,"Behavioral and demographic predictors are identified. Cross-national scores on a trait are obtained via three measurement methods. Correlations are computed between predictors and each measurement method's scores at the country level. Observational design: no manipulation, only measurement comparison. Statistical test compares correlation magnitudes across measurement methods to assess which validly captures true between-country differences.",observational or correlational,observational,simple-association,single-hypothesis,clearly-operationalized,minimal,none,70.0,-0.43,
10.1111/j.1467-9280.2008.02088.x,1,Social Psychology,2008,task type: confrontational versus nonconfrontational context,motivation to regulate emotion toward anger,"Units are told they will complete either a confrontational or nonconfrontational task. Before the task, they choose an emotion-inducing activity that will either increase anger or excitement. Between-subjects comparison: confrontational task units versus nonconfrontational units on activity choice. Subsequently, units perform the assigned task and performance is measured. Within-task: anger effect on performance is assessed. Statistical tests examine whether anger-increasing activity selection differs by task type and whether anger improves performance in confrontational but not nonconfrontational contexts.",between-subjects,quasi-experiment,interaction,few-confirmatory,clearly-operationalized,standard,none,82.0,,0.001
10.1111/j.1467-9280.2008.02089.x,1,Social Psychology,2008,"prediction type offered: accurate, optimistic, or pessimistic",normative endorsement by units and attribution to others,"Units are asked what kinds of predictions they believe themselves and others ought to make regarding personal outcomes. Responses are collected regarding endorsement of accuracy, optimism, and pessimism as normative. Observational design: units report their beliefs without experimental manipulation of belief formation. Statistical analysis summarizes and compares endorsement patterns across prediction types.",observational or correlational,observational,simple-association,single-hypothesis,partially-specified,minimal,none,125.0,0.93,
10.1111/j.1467-9280.2008.02091.x,1,Social Psychology,2008,"fairness of offer (fair versus unfair, controlling for monetary payoff)",self-reported happiness and brain activation in reward and emotion-regulation regions,Units view and rate monetary offers that are either fair or unfair in distribution but equated for personal monetary gain. Units report happiness during rating. Brain imaging captures activation in reward regions and prefrontal/insula areas during evaluation. Within-subjects design: same units rate both fair and unfair offers. Statistical tests compare happiness ratings and activation patterns between fair and unfair conditions. Mediation analysis explores relationship between activation patterns and acceptance of unfair offers.,within-subjects,quasi-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,12.0,3.25,
10.1111/j.1467-9280.2008.02092.x,0,Social Psychology,2008,gender of unit (male versus female),perceptual sensitivity and decisional bias in interpreting behavior cues,"Units view nonverbal behavioral cues and categorize them as indicating sexual interest or friendliness. Data are analyzed using signal detection theory, decomposing judgments into perceptual sensitivity (d-prime) and decision criterion (beta). Between-subjects design: male units versus female units. Statistical analysis compares sensitivity and bias parameters across genders. Gender differences are tested to distinguish between threshold explanation versus perceptual insensitivity explanation.",between-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,280.0,0.26,0.001
10.1111/j.1467-9280.2008.02093.x,0,Social Psychology,2008,dominance level of unit (high versus low),spatial attention preference: vertical versus horizontal dimension,Units with measured dominance levels complete spatial attention paradigms (two different paradigms across studies). Response times to probes along vertical and horizontal dimensions are recorded. Between-subjects comparison: high-dominance units versus low-dominance units. Statistical tests examine whether dominance predicts faster responding to vertical probes. Analyses control for overall response speed to isolate spatial attention effects.,between-subjects,observational,main-effect,single-hypothesis,clearly-operationalized,standard,none,53.0,-0.31,0.05
10.1111/j.1467-9280.2008.02095.x,1,Social Psychology,2008,possession status (owned versus not owned) and desire level (want versus do not want),happiness rating,Units report on 52 material items: whether owned and extent of desire. Happiness is measured separately. Wanting-what-have is computed as the extent desired for items actually owned. Having-what-want is computed as possession status of highly desired items. Within-subjects design: same units rate multiple items. Regression analysis examines unique variance in happiness explained by each variable. Mediation analysis tests whether wanting-what-have and having-what-want mediate effects of gratitude and maximization.,within-subjects,observational,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,119.0,0.21,
10.1111/j.1467-9280.2008.02098.x,1,Cognitive Psychology,2008,attention allocation (focused attention versus withdrawn attention),precision of representation: individual object location versus centroid location,Units view arrays of objects under two attention conditions: attention focused within array versus attention focused elsewhere. Precision of representing individual object locations and centroid (mean location) are measured using discrimination or estimation tasks. Within-subjects design: same units tested under both attention conditions. Three separate experiments test this pattern. Statistical analysis compares degradation of location versus centroid representation under attention withdrawal.,within-subjects,quasi-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,8.0,,0.028
10.1111/j.1467-9280.2008.02100.x,1,Social Psychology,2008,contribution pool type: within-group cooperative pool versus between-group competitive pool option,monetary contribution amounts to each pool type,Units are assigned to groups and receive an endowment. They decide how much to contribute to either a within-group pool (benefits in-group at personal cost) or a between-group pool (benefits in-group and harms out-group at personal cost). Between-subjects comparison via pool availability: groups with choice versus groups with restricted availability. Within-subjects: same units indicate intended contributions. Group communication condition is varied (intragroup communication present versus absent). Statistical tests examine contribution patterns and the effect of communication on cooperation.,mixed,quasi-experiment,main-effect,few-confirmatory,clearly-operationalized,standard,none,240.0,,0.001
10.1111/j.1467-9280.2008.02136.x,1,Cognitive Psychology,2008,aggregation: individual estimates versus averaged group estimates,accuracy of estimate (error magnitude),"Units make individual estimates or judgments on a task. Group estimates are computed as averages of individual estimates. Accuracy is measured by comparing estimates to true value. Between-subjects or within-subjects comparison of individual error versus average error. Statistical analysis tests whether average error is smaller than typical individual error, examining independence of individual errors as underlying mechanism.",observational or correlational,observational,main-effect,single-hypothesis,partially-specified,minimal,none,173.0,,0.01
10.1111/j.1467-9280.2008.02157.x,0,Cognitive Psychology,2008,"time interval: 30 minutes, 12 hours awake, 12 hours including sleep",memory accuracy for emotional objects versus backgrounds,"Units view negative-emotion scenes containing focal objects in contextual backgrounds. Memory is tested at three delays: 30 minutes, 12 daytime hours, 12 nighttime hours. Within-subjects design: same scenes tested at multiple time points in different conditions. Memory for focal objects and background information is separately assessed. Statistical analysis examines forgetting curves for objects versus backgrounds across delays, comparing rates of decay between sleep and awake conditions.",longitudinal,quasi-experiment,interaction,single-hypothesis,clearly-operationalized,controls-and-power-reported,none,48.0,0.17,0.008
10.1111/j.1467-9280.2008.02159.x,0,Psychology,2008,temporal direction of event: future versus past,compensation required or offered for equivalent event,"Units imagine receiving or providing compensation for events happening at future or past time points, equidistant from present. They indicate how much compensation is required or fair. Between-subjects comparison: future events versus past events. Within-subjects comparison also conducted (same units judge both temporal directions). Affect is measured separately. Statistical tests examine whether temporal value asymmetry holds, and mediation analysis tests whether affect difference explains compensation asymmetry.",mixed,quasi-experiment,mediation-or-moderation,few-confirmatory,clearly-operationalized,standard,none,121.0,0.41,0.03
10.1111/j.1467-9280.2008.02227.x,0,Social Psychology,2008,cleanliness salience: cognitive activation or physical cleansing action,moral judgment severity (wrongness rating),"Units undergo a cleanliness manipulation: either cognitive activation of cleanliness concept or physical hand-washing following disgust induction. Subsequently, units rate moral wrongness of various actions. Between-subjects design: cleanliness-manipulation units versus control units. Within-subjects: same units judge multiple moral actions. Statistical tests compare wrongness ratings between conditions. Analysis examines whether cleanliness salience reduces moral judgment severity compared to disgust baseline.",between-subjects,randomized-experiment,main-effect,single-hypothesis,clearly-operationalized,standard,none,40.0,0.09,
10.1111/j.1467-9280.2009.02426.x,0,Social Psychology,2009,weight of object held (heavy versus light clipboard),"multiple outcomes: monetary value judgments, importance of fairness, consistency of related judgments, polarization of argument agreement ratings","Units hold either a heavy or light clipboard while making judgments and ratings. Between-subjects design: heavy clipboard condition versus light clipboard condition. Within-subjects: same units provide multiple judgment types (monetary value, fairness importance, argument strength ratings). Statistical tests examine main effects of weight on each outcome. Analysis includes comparison of consistency metrics and polarization patterns.",between-subjects,randomized-experiment,main-effect,many-exploratory,clearly-operationalized,standard,none,51.0,0.33499999999999996,0.05
10.1111/j.1467-9280.2009.02447.x,1,Cognitive Psychology,2009,handedness (right-handed versus left-handed units),perceived arm and hand length,"Units view their own right and left arms and hands, individually, and provide length estimates. Between-subjects design: right-handed units versus left-handed units. Within-subjects: same units estimate length of both arms. Perceived length is compared to actual measured length to assess bias. Statistical tests examine whether perceived length differs by arm side and whether this asymmetry is moderated by handedness.",between-subjects,observational,interaction,single-hypothesis,clearly-operationalized,standard,none,14.0,0.2,
